Record Type,Constituent Id,Address ID,Address Type,Primary Flag,Organization Name,Address line 1,Address line 2,Address line 3,Address line 4,City,State,Zip Code,County,District
1C,40794963,HO,S,,,3555 Carey Neck,,,,South Lisa,VT,12328,District Of Columbia,0.0
1C,40794963,BU,S,X,,758 Harris Fields Suite 319,,,,North Lisa,WI,4096,District Of Columbia,0.0
1C,40797230,BU,P,X,Fireside21,42480 Mary View Apt. 486,,,,Sarahmouth,HI,82879,,
1C,40797231,HO,S,X,,981 Wright Vista,,,,South Michaeltown,KY,15053,Cook,9.0
1C,40797231,BU,S,,,"PSC 6635, Box 3923",,,,Welchstad,MO,63581,,
1C,40797232,BU,P,X,,647 Robbins Key,,,,North Shannonberg,DC,24661,,
1C,40797233,BU,P,X,,187 Leonard Path Suite 524,,,,Michellefort,OR,73146,,
1C,40797234,HO,P,X,,5018 Jones Lodge Apt. 790,,,,Lake Sarahfurt,MN,76925,Macon,13.0
1C,40797252,BU,P,X,,Unit 3718 Box 6513,,,,Brooketon,ID,9992,,
1C,40797264,HO,P,X,,184 Wheeler River Apt. 810,,,,Larryborough,VT,15391,Champaign,13.0
1C,40797283,BU,P,X,,435 Thomas Pass Suite 281,,,,North Ronaldmouth,MN,4853,,
1C,40797284,BU,P,X,,"PSC 8978, Box 5547",,,,Heatherport,PA,99044,,
1C,40797285,BU,P,X,,2437 Kelly Springs,,,,Diazside,AL,48847,,
1C,40797286,BU,P,X,,16251 Sonia Square Apt. 198,,,,Jeffreyborough,HI,8533,,
1C,40797937,HO,P,X,,06421 Angela Parkways,,,,Sandersmouth,TN,36476,Arlington,8.0
1C,40797938,BU,P,X,,65938 Richard Track Suite 500,,,,Lake Barry,MT,87674,,
1C,40797953,HO,S,,,490 Mclaughlin Crescent Suite 308,,,,Jacobport,WA,20571,Alexandria City,8.0
1C,40797953,BU,S,X,,3743 Patrick Manors Suite 150,,,,Nguyenfurt,IN,97865,,
1C,40799294,HO,P,X,,5160 Jones Mountains,,,,Gonzalezfurt,TX,99144,,
1C,40832409,HO,P,X,,325 William Ridge Apt. 809,,,,Paulmouth,ME,47888,Sangamon,13.0
1C,40845936,HO,P,X,,46054 Hawkins Heights Suite 537,,,,South Shannon,TX,87148,Macon,13.0
1C,40846696,HO,P,X,,218 Tracy Islands,,,,DPO AP 92250,NE,31070,Champaign,13.0
1C,40847629,HO,P,X,,10152 Charlotte Motorway,,,,South Denise,AR,94232,Champaign,13.0
