Record Type,Constituent ID,Individual Type,Prefix,First Name,Middle Name,Last Name,Suffix,Appellation,Salutation,Date of Birth,No Mail Flag,Deceased Flag
1A,40235300,CS,Ms.,Barbara,K.,Sheck,,,Ms. Sheck,19980530.0,,
1A,40794963,CS,Mr.,Helen, ,Robinson,,,Mr. Robinson,19670817.0,,
1A,40797230,CS,Mrs.,David,Gene,Tatem,,,Mrs. Tatem,19440413.0,,
1A,40797231,CS,Ms.,Kristina,S.,Nix,,,Ms. Nix,,,
1A,40797232,CS,Mrs.,Eileen,P.,Goad,,,Mrs. Goad,19521224.0,,
1A,40797233,CS,Mr.,Steven,Abigail,Humes,,,Mr. Humes,19410304.0,,
1A,40797234,CS,Mr.,Larry,Stella,Welch,,,Mr. Welch,,,
1A,40797252,CS,Mrs.,Thomas, ,Midden,,,Mrs. Midden,19010219.0,,
1A,40797264,CS,Mrs.,Dean,A.,Prince,JR,,Mrs. Prince,19791110.0,,
1A,40797283,CS,Mr.,Paul,J.,Fleming,,,Mr. Fleming,,,
1A,40797284,CS,Mr.,Dianne,Jonathon,Kang,,,Mr. Kang,19610909.0,,
1A,40797285,CS,Ms.,Mirian,R.,Walsh,,,Ms. Walsh,19890112.0,,
1A,40797286,CS,Mrs.,Mary,Jack,Rodriguez,,,Mrs. Rodriguez,19560326.0,,
1A,40797937,CS,Mr.,Diane,Hugh,Funk,,,Mr. Funk,19790102.0,,
1A,40797938,CS,Ms.,Keith,J.,Pennebaker,,,Ms. Pennebaker,19230305.0,,
1A,40797953,CS,Mrs.,Lonnie,Kelsey,Kaufman,,,Mrs. Kaufman,19900509.0,,
1A,40799294,CS,Mr.,Louvenia,M.,Birge,,,Mr. Birge,,,
1A,40805852,CS,Mr.,Edna,M.,Everhart,,,Mr. Everhart,19950110.0,,
1A,40832409,CS,Mr.,Doris,J.,May,,,Mr. May,19880929.0,,
1A,40845936,CS,Mrs.,Juanita,Keith,Warfield,,,Mrs. Warfield,19171211.0,,
1A,40845978,CS,Mr.,Willie,S.,Jackson,,,Mr. Jackson,20020505.0,,
1A,40846696,CS,Mrs.,David,Douglas,Walton,,,Mrs. Walton,19650228.0,,
1A,40847629,CS,Mr.,Carolina,J.,Hunnell,,,Mr. Hunnell,19711126.0,,
1A,40847639,CS,Mr.,Carol, ,Flynn,,,Mr. Flynn,19750305.0,,
1A,40847696,CS,Ms.,William,D.,Terrill,,,Ms. Terrill,,,
1A,40847919,CS,Mr.,Latanya,Catherine,Romero,,,Mr. Romero,19170506.0,,
1A,40848730,CS,Ms.,James,A.,Newell,,,Ms. Newell,19290927.0,,
1A,40848806,CS,Mr.,Shannon,S.,Bowie,,,Mr. Bowie,,,
1A,40849515,CS,Mrs.,Mark,J.,Johnson,,,Mrs. Johnson,19830313.0,,
1A,40879740,CS,Ms.,Sean,L.,Parm,,,Ms. Parm,19080802.0,,
1A,40892580,CS,Mrs.,Sharon,Kristian,Barrios,,,Mrs. Barrios,20000627.0,,
1A,40896009,CS,Ms.,Peggy,Delmar,Andersen,,,Ms. Andersen,19550111.0,,
1A,40899201,CS,Mrs.,Jesse, ,Pringle,,,Mrs. Pringle,19820507.0,,
1A,40917185,CS,Mr.,Joe, ,Barnes,,,Mr. Barnes,19660630.0,,
1A,40923873,CS,Ms.,Mary,Peggy,Francis,,,Ms. Francis,19770130.0,,
