Record Type,Constituent ID,Type,Text
1E,40235300,EMAIL,fakeporteremail80470600@indigov.us
1E,40794963,HOME,19296388243
1E,40794963,WORK,11793568736
1E,40794963,EMAIL,fakeporteremail81589926@indigov.us
1E,40797231,CELL,14261245735
1E,40797231,EMAIL,fakeporteremail81594462@indigov.us
1E,40797233,EMAIL,fakeporteremail81594466@indigov.us
1E,40797234,HOME,16425632374
1E,40797234,EMAIL,fakeporteremail81594468@indigov.us
1E,40797252,EMAIL,fakeporteremail81594504@indigov.us
1E,40797264,CELL,12458547657
1E,40797284,EMAIL,fakeporteremail81594568@indigov.us
1E,40797285,EMAIL,fakeporteremail81594570@indigov.us
1E,40797286,EMAIL,fakeporteremail81594572@indigov.us
1E,40797953,EMAIL,fakeporteremail81595906@indigov.us
1E,40799294,HOME,15935445994
1E,40799294,CELL,17751956417
1E,40805852,EMAIL,fakeporteremail81611704@indigov.us
1E,40832409,HOME,16458379545
1E,40832409,EMAIL,fakeporteremail81664818@indigov.us
1E,40845936,EMAIL,fakeporteremail81691872@indigov.us
1E,40845978,EMAIL,fakeporteremail81691956@indigov.us
1E,40846696,EMAIL,fakeporteremail81693392@indigov.us
1E,40847629,HOME,18346147261
1E,40847629,EMAIL,fakeporteremail81695258@indigov.us
1E,40847639,EMAIL,fakeporteremail81695278@indigov.us
1E,40847696,HOME,13684454585
1E,40847696,EMAIL,fakeporteremail81695392@indigov.us
1E,40847919,HOME,15776721797
1E,40847919,EMAIL,fakeporteremail81695838@indigov.us
1E,40848730,HOME,14812962313
1E,40848730,EMAIL,fakeporteremail81697460@indigov.us
1E,40848806,HOME,14632528259
1E,40848806,EMAIL,fakeporteremail81697612@indigov.us
1E,40849515,EMAIL,fakeporteremail81699030@indigov.us
1E,40879740,EMAIL,fakeporteremail81759480@indigov.us
1E,40892580,EMAIL,fakeporteremail81785160@indigov.us
1E,40917185,EMAIL,fakeporteremail81834370@indigov.us
1E,40923873,HOME,18856452768
1E,40923873,CELL,14257796478
1E,40923873,EMAIL,fakeporteremail81847746@indigov.us
1E,40930776,HOME,15966961311
1E,40930776,EMAIL,fakeporteremail81861552@indigov.us
1E,40932580,HOME,11335448871
1E,40932580,EMAIL,fakeporteremail81865160@indigov.us
1E,40964894,HOME,16376494911
1E,40964894,WORK,18421925715
1E,40964894,OTHER,13469457462
1E,40964894,CELL,12535253495
1E,40980151,HOME,13252333393
1E,40980151,EMAIL,fakeporteremail81960302@indigov.us
1E,40983987,EMAIL,fakeporteremail81967974@indigov.us
1E,40987638,EMAIL,fakeporteremail81975276@indigov.us
1E,41004727,HOME,19259634467
1E,41004727,EMAIL,fakeporteremail82009454@indigov.us
1E,41071514,HOME,16851567262
1E,41074992,HOME,14241185915
1E,41074992,EMAIL,fakeporteremail82149984@indigov.us
1E,41074994,HOME,17529826831
1E,41074994,EMAIL,fakeporteremail82149988@indigov.us
1E,41075015,HOME,17686779718
1E,41075015,EMAIL,fakeporteremail82150030@indigov.us
1E,41075995,EMAIL,fakeporteremail82151990@indigov.us
1E,41076003,HOME,19937645681
1E,41076003,EMAIL,fakeporteremail82152006@indigov.us
1E,41076490,HOME,14985718945
1E,41076490,EMAIL,fakeporteremail82152980@indigov.us
1E,41076498,EMAIL,fakeporteremail82152996@indigov.us
1E,41077220,EMAIL,fakeporteremail82154440@indigov.us
1E,41077648,HOME,16437495759
1E,41077739,HOME,12928235649
1E,41077739,EMAIL,fakeporteremail82155478@indigov.us
1E,41077751,HOME,11196586784
1E,41077751,EMAIL,fakeporteremail82155502@indigov.us
1E,41077808,HOME,13567718689
1E,41767501,CELL,16733816517
1E,41077808,EMAIL,fakeporteremail82155616@indigov.us
1E,41078215,HOME,18972591885
1E,41078215,WORK,11628295951
1E,41078215,EMAIL,fakeporteremail82156430@indigov.us
1E,41078483,EMAIL,fakeporteremail82156966@indigov.us
1E,41078895,HOME,16579232258
1E,41078895,EMAIL,fakeporteremail82157790@indigov.us
1E,41078897,EMAIL,fakeporteremail82157794@indigov.us
1E,41079876,EMAIL,fakeporteremail82159752@indigov.us
1E,41080094,EMAIL,fakeporteremail82160188@indigov.us
1E,41080231,HOME,13863123183
1E,41080231,EMAIL,fakeporteremail82160462@indigov.us
1E,41080257,HOME,14156128227
1E,41080257,EMAIL,fakeporteremail82160514@indigov.us
1E,41080468,HOME,15711311897
1E,41080468,EMAIL,fakeporteremail82160936@indigov.us
1E,41080476,HOME,14979795893
1E,41080476,EMAIL,fakeporteremail82160952@indigov.us
1E,41080517,HOME,12632656419
1E,41080517,EMAIL,fakeporteremail82161034@indigov.us
1E,41080635,HOME,13774862844
1E,41080955,HOME,12511359898
1E,41080955,EMAIL,fakeporteremail82161910@indigov.us
1E,41081016,HOME,18388652124
1E,41081016,EMAIL,fakeporteremail82162032@indigov.us
1E,41081137,HOME,14797491598
1E,41081137,CELL,13372342338
1E,41081137,EMAIL,fakeporteremail82162274@indigov.us
1E,41081579,HOME,18483289933
1E,41081579,EMAIL,fakeporteremail82163158@indigov.us
1E,41082421,HOME,14736469897
1E,41082421,EMAIL,fakeporteremail82164842@indigov.us
1E,41082713,EMAIL,fakeporteremail82165426@indigov.us
1E,41082924,HOME,11462286876
1E,41082924,EMAIL,fakeporteremail82165848@indigov.us
1E,41082955,EMAIL,fakeporteremail82165910@indigov.us
1E,41082960,EMAIL,fakeporteremail82165920@indigov.us
1E,41082962,HOME,15327318657
1E,41082962,EMAIL,fakeporteremail82165924@indigov.us
1E,41089173,EMAIL,fakeporteremail82178346@indigov.us
1E,41337177,HOME,18943432511
1E,41337177,EMAIL,fakeporteremail82674354@indigov.us
1E,41766129,HOME,17425684715
1E,41766129,EMAIL,fakeporteremail83532258@indigov.us
1E,41767227,HOME,14219147522
1E,41767483,HOME,18834815418
1E,41767483,WORK,15545566427
1E,41767483,OTHER,16876373225
1E,41767483,CELL,16452755851
1E,41767483,EMAIL,fakeporteremail83534966@indigov.us
1E,41767484,OTHER,12668315917
1E,41767484,CELL,18386274126
1E,41767484,EMAIL,fakeporteremail83534968@indigov.us
1E,41767486,HOME,14958767824
1E,41767486,WORK,14548728985
1E,41767487,WORK,18411625717
1E,41767487,CELL,11697745493
1E,41767489,WORK,16347544284
1E,41767489,OTHER,13846689863
1E,41767489,CELL,19744264411
1E,41767489,EMAIL,fakeporteremail83534978@indigov.us
1E,41767490,HOME,12337194882
1E,41767490,OTHER,12449794335
1E,41767491,EMAIL,fakeporteremail83534982@indigov.us
1E,41767492,WORK,14489337155
1E,41767492,EMAIL,fakeporteremail83534984@indigov.us
1E,41767493,HOME,16973894631
1E,41767493,EMAIL,fakeporteremail83534986@indigov.us
1E,41767494,WORK,12777611116
1E,41767494,EMAIL,fakeporteremail83534988@indigov.us
1E,41767495,HOME,19476426878
1E,41767495,EMAIL,fakeporteremail83534990@indigov.us
1E,41767497,HOME,16599519574
1E,41767497,EMAIL,fakeporteremail83534994@indigov.us
1E,41767498,OTHER,16693379365
1E,41767498,CELL,16513182927
1E,41767498,EMAIL,fakeporteremail83534996@indigov.us
1E,41767499,OTHER,14318265923
1E,41767499,CELL,14542495531
1E,41767499,EMAIL,fakeporteremail83534998@indigov.us
1E,41767500,WORK,18515688663
1E,41767500,OTHER,14466576497
1E,41767500,CELL,17375743327
1E,41767501,OTHER,16357448741
1E,41767502,CELL,12851927653
1E,41767503,CELL,19138494259
1E,41767504,WORK,15191534224
1E,41767504,OTHER,13937834361
1E,41767504,EMAIL,fakeporteremail83535008@indigov.us
1E,41767506,OTHER,12488317615
1E,41767507,OTHER,19949564595
1E,41767508,HOME,11974775745
1E,41767508,OTHER,16656632572
1E,41767508,EMAIL,fakeporteremail83535016@indigov.us
1E,41767509,OTHER,14324638555
1E,41767510,OTHER,14338695483
1E,41767510,EMAIL,fakeporteremail83535020@indigov.us
1E,41767511,WORK,15267176341
1E,41767511,EMAIL,fakeporteremail83535022@indigov.us
1E,41767512,WORK,14788764937
1E,41767512,OTHER,18177744524
1E,41767512,EMAIL,fakeporteremail83535024@indigov.us
1E,41767513,OTHER,12767265385
1E,41767514,OTHER,11698116146
1E,41767515,WORK,15987438236
1E,41767516,WORK,19462615178
1E,41767516,OTHER,14531923676
1E,41907168,WORK,18128512295
1E,41907168,CELL,13511535516
1E,41907168,EMAIL,fakeporteremail83814336@indigov.us
1E,42009209,HOME,12164634499
1E,42009209,EMAIL,fakeporteremail84018418@indigov.us
1E,42116131,HOME,15444141528
1E,42116131,EMAIL,fakeporteremail84232262@indigov.us
1E,42170134,CELL,12794989764
1E,42260852,HOME,16499846258
1E,42260852,EMAIL,fakeporteremail84521704@indigov.us
1E,42261881,HOME,17691152652
1E,42261881,EMAIL,fakeporteremail84523762@indigov.us
1E,42262000,HOME,12644511427
1E,42262000,EMAIL,fakeporteremail84524000@indigov.us
1E,42262194,EMAIL,fakeporteremail84524388@indigov.us
1E,42263039,HOME,18819349952
1E,42263039,EMAIL,fakeporteremail84526078@indigov.us
1E,42263474,EMAIL,fakeporteremail84526948@indigov.us
1E,42263924,HOME,17398851392
1E,42264021,HOME,13395315982
1E,42264021,EMAIL,fakeporteremail84528042@indigov.us
1E,42264152,HOME,19315318514
1E,42264152,EMAIL,fakeporteremail84528304@indigov.us
1E,42264312,HOME,19727635813
1E,42264413,HOME,14556298161
1E,42264413,EMAIL,fakeporteremail84528826@indigov.us
1E,42264448,EMAIL,fakeporteremail84528896@indigov.us
1E,42264480,HOME,16478957621
1E,42264480,WORK,12754995841
1E,42264489,HOME,13719533357
1E,42264489,EMAIL,fakeporteremail84528978@indigov.us
1E,42264519,HOME,19582547146
1E,42264519,EMAIL,fakeporteremail84529038@indigov.us
1E,42264672,HOME,16977677169
1E,42264672,EMAIL,fakeporteremail84529344@indigov.us
1E,42264816,HOME,18988182877
1E,42264816,EMAIL,fakeporteremail84529632@indigov.us
1E,42264832,HOME,11819386764
1E,42264832,EMAIL,fakeporteremail84529664@indigov.us
1E,42265057,HOME,11624162858
1E,42265220,HOME,14992938898
1E,42265220,EMAIL,fakeporteremail84530440@indigov.us
1E,42265244,HOME,16259234881
1E,42265331,HOME,16738487958
1E,42265331,EMAIL,fakeporteremail84530662@indigov.us
1E,42265667,HOME,11621729411
1E,42265667,CELL,17244634338
1E,42265667,EMAIL,fakeporteremail84531334@indigov.us
1E,42265782,EMAIL,fakeporteremail84531564@indigov.us
1E,42265961,HOME,12176536821
1E,42265961,WORK,15569721579
1E,42265961,EMAIL,fakeporteremail84531922@indigov.us
1E,42265983,EMAIL,fakeporteremail84531966@indigov.us
1E,42266020,HOME,12887766822
1E,42266020,EMAIL,fakeporteremail84532040@indigov.us
1E,42266054,HOME,13695775867
1E,42266054,EMAIL,fakeporteremail84532108@indigov.us
1E,42266106,HOME,17324636462
1E,42266106,EMAIL,fakeporteremail84532212@indigov.us
1E,42267203,HOME,19264348558
1E,42267203,EMAIL,fakeporteremail84534406@indigov.us
1E,42285648,EMAIL,fakeporteremail84571296@indigov.us
1E,42290482,HOME,16354676331
1E,42290482,EMAIL,fakeporteremail84580964@indigov.us
1E,42294789,EMAIL,fakeporteremail84589578@indigov.us
1E,42299381,HOME,11311291151
1E,42299381,EMAIL,fakeporteremail84598762@indigov.us
1E,42299411,HOME,13836944195
1E,42299411,EMAIL,fakeporteremail84598822@indigov.us
1E,42299641,HOME,13589474679
1E,42299641,EMAIL,fakeporteremail84599282@indigov.us
1E,42299716,HOME,15168697927
1E,42299716,EMAIL,fakeporteremail84599432@indigov.us
1E,42299753,HOME,13967319446
1E,42299753,EMAIL,fakeporteremail84599506@indigov.us
1E,42299776,HOME,15886789268
1E,42299776,EMAIL,fakeporteremail84599552@indigov.us
1E,42299853,HOME,14792971826
1E,42300003,HOME,12269779494
1E,42300003,EMAIL,fakeporteremail84600006@indigov.us
1E,42300233,HOME,12796359246
1E,42300233,EMAIL,fakeporteremail84600466@indigov.us
1E,42300301,HOME,16933875517
1E,42300301,EMAIL,fakeporteremail84600602@indigov.us
1E,42300351,HOME,12158135265
1E,42300351,EMAIL,fakeporteremail84600702@indigov.us
1E,42300355,HOME,11183213914
1E,42300355,EMAIL,fakeporteremail84600710@indigov.us
1E,42300357,HOME,18287134123
1E,42300357,EMAIL,fakeporteremail84600714@indigov.us
1E,42300379,HOME,17394254568
1E,42300379,EMAIL,fakeporteremail84600758@indigov.us
1E,42300508,HOME,14644722437
1E,42300508,CELL,16839633549
1E,42300508,EMAIL,fakeporteremail84601016@indigov.us
